948292,5b5e1d5f99aab30001b9a4bd,611cd198b6d0089b209d31f3,12,set-5
948292,5b5e1d5f99aab30001b9a4bd,611cd198b6d0089b209d31f3,12,set-5
180772,Aaaaaaaaaaaaaaaaaaaaaaa2,Aaaaaaaaaaaaaaaaaaaaaaa1,3,set-9
180772,Aaaaaaaaaaaaaaaaaaaaaaa2,Aaaaaaaaaaaaaaaaaaaaaaa1,3,set-9
673864,Aaaaaaaaaaaaaaaaaaaaa321,Aaaaaaaaaaaaaaaaaaaaaa234,3,set-7
673864,Aaaaaaaaaaaaaaaaaaaaa321,Aaaaaaaaaaaaaaaaaaaaaa234,3,set-7
996028,ssd,bbs,2,set-3
996028,ssd,bbs,2,set-3
996028,ssd,bbs,2,set-3
823411,aa,bb,3,set-2
823411,aa,bb,3,set-2
410602,6019a575bd484911682112eb,5afdda0456fe2c0001690b1e,17,set-5
410602,6019a575bd484911682112eb,5afdda0456fe2c0001690b1e,17,set-5
